SR number,SR Type,Entitlement,Impact,Billable,Date Opened,Closed Date
1-7657336422,Incident,Requested Services SESP Basic - Problem Management - 52,Moderate,N,9/11/2014 11:14,10/16/2014 17:33
1-7658643852,Incident,Requested Services SESP Basic - Problem Management - 52,Significant,N,9/11/2014 20:02,10/22/2014 15:04
1-7735438423,Incident,Requested Services SESP Basic - Problem Management - 52,Moderate,N,10/8/2014 8:04,4/15/2015 17:28
1-7880118403,Incident,Requested Services SESP Basic - Problem Management - 52,Moderate,N,11/13/2014 13:19,12/19/2014 13:45
1-7910068651,Incident,Requested Services SESP Basic - Problem Management - 52,Significant,N,11/21/2014 12:31,12/7/2014 11:01
1-7942419179,Incident,Requested Services SESP Basic - Problem Management - 52,Significant,N,12/1/2014 7:05,12/17/2014 23:16
1-8449018738,Incident,Requested Services SESP Basic - Problem Management - 52,Moderate,N,4/13/2015 12:49,6/9/2015 16:11
1-8553760143,Incident,Requested Services SESP Basic - Problem Management - 52,Moderate,N,5/4/2015 8:36,5/28/2015 1:04
1-8571837833,Incident,Requested Services SESP Basic - Problem Management - 52,Significant,N,5/8/2015 12:58,5/18/2015 17:16
1-8609052202,Incident,Requested Services SESP Basic - Problem Management - 52,Moderate,N,5/20/2015 12:07,5/29/2015 10:42
1-7462944922,Incident,,Significant,N,6/24/2014 15:37,10/22/2014 16:48
1-7608462092,Incident,Preventive Maintenance - 15,Significant,N,8/22/2014 12:07,9/11/2014 8:26
1-7622468552,Incident,Preventive Maintenance - 15,Moderate,N,8/28/2014 12:04,9/11/2014 8:30
1-7773085404,Incident,Operations & Alarm Management - BGP - 14,Significant,N,10/20/2014 11:23,11/18/2014 23:50
1-7881292204,Incident,Requested Services Hiway Care Full - Fulfilment - 25,Significant,N,11/13/2014 17:00,11/18/2014 23:58
1-7902909232,Incident,Requested Services Hiway Care Full - Fulfilment - 25,Significant,N,11/19/2014 19:38,11/25/2014 15:22
1-7917477501,Incident,,Significant,N,11/24/2014 2:40,12/17/2014 10:23
1-8055854708,Incident,,Moderate,N,1/5/2015 16:58,4/15/2015 17:19
1-8174122726,Incident,Process Optimization - BGP - 15,Moderate,N,2/4/2015 12:29,2/11/2015 16:07
1-8367456707,Incident,Process Optimization - BGP - 15,Moderate,N,3/24/2015 12:54,5/18/2015 18:22
1-7712789733,Incident,,Moderate,Y,9/30/2014 11:52,2/4/2015 10:41
1-7833015727,Incident,,Moderate,Y,11/1/2014 1:32,11/5/2014 23:09
1-8349318588,Incident,,Significant,Y,3/19/2015 12:37,4/29/2015 14:46
1-7452733043,Incident,,Moderate,N,6/19/2014 12:56,11/25/2014 14:56
1-8055855075,Incident,,Moderate,N,1/5/2015 18:27,2/3/2015 14:57
1-7556512101,Incident,,Significant,N,8/1/2014 13:23,2/3/2015 14:16
1-8170060436,Incident,,Significant,Y,2/3/2015 14:21,3/2/2015 17:01
1-8523383181,Incident,,Significant,N,4/24/2015 11:48,5/28/2015 10:55
1-8606829005,Incident,,Significant,N,5/19/2015 17:00,5/28/2015 0:58
1-8632663714,Incident,,Significant,N,5/28/2015 11:05,5/29/2015 10:36
1-7472905521,Incident,Requested Services - Fulfilment - 2,Moderate,N,6/27/2014 18:10,12/6/2014 19:32
1-6281762003,Incident,Process Optimization - BGP - 18,Moderate,N,3/25/2014 9:17,5/30/2014 16:55
1-7362116769,Incident,,Significant,N,5/23/2014 8:26,9/18/2014 20:45
1-7413812736,Incident,,Moderate,N,6/10/2014 16:58,10/22/2014 16:59
1-7462945039,Incident,,Moderate,N,6/24/2014 15:57,1/2/2015 14:20
1-8254231678,Incident,Requested Services SESP Remote - Fulfilment - 13,Moderate,N,2/23/2015 15:09,3/16/2015 21:19
1-8268740723,Incident,Requested Services SESP Remote - Fulfilment - 13,Minor,N,2/26/2015 19:46,3/19/2015 16:12
1-8284079363,Incident,Requested Services SESP Remote - Fulfilment - 13,Significant,N,3/3/2015 11:17,3/24/2015 12:02
1-8320911422,Incident,Requested Services SESP Remote - Fulfilment - 13,Moderate,N,3/12/2015 6:48,3/24/2015 11:29
1-8554342145,Incident,Requested Services SESP Remote - Fulfilment - 13,Significant,N,5/4/2015 10:56,5/23/2015 1:44
1-5933374996,Incident,Process Optimization - BGP - 1,Significant,N,3/5/2014 8:00,4/4/2014 16:41
1-5076261842,Incident,Preventive Maintenance - 1,Moderate,N,1/24/2014 7:26,3/24/2014 20:58
1-4996366032,Incident,,Significant,N,1/20/2014 18:26,3/1/2014 19:55
1-4879749772,Incident,Requested Services - Fulfilment,Moderate,N,1/16/2014 4:59,1/23/2014 4:50
1-4903062850,Incident,Requested Services - Fulfilment,Minor,N,1/17/2014 3:56,1/17/2014 5:44
1-6407992182,Incident,Requested Services - Fulfilment,Moderate,N,4/1/2014 4:14,4/8/2014 8:31
1-6631136882,Incident,Requested Services - Fulfilment,Minor,N,4/15/2014 6:27,4/17/2014 10:44
1-6660459973,Incident,Requested Services - Fulfilment,Minor,N,4/17/2014 9:41,5/26/2014 13:05
1-6665588131,Incident,Requested Services - Fulfilment,Minor,N,4/17/2014 10:48,5/5/2014 6:00
1-6991681613,Incident,Requested Services - Fulfilment,Minor,N,5/5/2014 5:36,5/26/2014 13:07
1-7395757582,Incident,Requested Services - Incident Support - 1,Minor,N,6/4/2014 6:39,6/5/2014 7:18
1-7398595953,Incident,Requested Services - Incident Support - 1,Moderate,N,6/5/2014 7:16,6/19/2014 5:58
1-7464957373,Incident,Requested Services SESP Basic - Fulfilment - 5,Moderate,N,6/25/2014 7:20,7/4/2014 4:30
1-7678508722,Incident,,Moderate,Y,9/19/2014 11:51,10/1/2014 7:38
1-7722961262,Incident,,Moderate,Y,10/3/2014 7:49,11/26/2014 17:50
1-8903750809,Incident,,Moderate,N,7/6/2015 8:18,7/7/2015 10:37
1-4750734843,Incident,,Significant,N,1/2/2014 8:54,3/1/2014 19:51
1-8339357731,Incident,,Significant,N,3/17/2015 10:45,5/14/2015 15:14
1-6339806332,Incident,Requested Services - Fulfilment - 2,Significant,N,3/28/2014 10:37,4/4/2014 15:26
1-8350026452,Incident,,Significant,N,3/19/2015 15:27,5/29/2015 14:44
1-6297413262,Incident,Requested Services - Fulfilment - 2,Moderate,N,3/26/2014 0:20,9/25/2014 17:14
1-7525753830,Incident,Requested Services - Fulfilment - 2,Moderate,N,7/18/2014 16:52,7/29/2014 17:11
1-7892274637,Incident,Process Optimization - BGP - 7,Moderate,N,11/17/2014 12:13,5/21/2015 0:03
1-6281766006,Incident,Process Optimization - BGP - 2,Moderate,N,3/25/2014 8:30,4/4/2014 15:19
1-7815130813,Incident,Process Optimization - BGP - 7,Moderate,N,10/29/2014 15:17,11/3/2014 12:36
1-8155874602,Incident,,Moderate,N,1/30/2015 12:06,2/4/2015 10:42
1-8589856212,Incident,,Significant,N,5/13/2015 11:54,5/29/2015 17:51
1-6790560978,Incident,Requested Services - Fulfilment - 3,Significant,N,4/24/2014 11:57,10/22/2014 16:07
1-6794161102,Incident,Requested Services - Fulfilment - 3,Moderate,N,4/24/2014 12:15,9/29/2014 20:29
1-7827855401,Incident,,Significant,N,10/31/2014 12:25,11/18/2014 23:43
1-8633325796,Incident,,Significant,N,5/28/2015 15:16,7/7/2015 10:09
1-8097918051,Incident,,Significant,N,1/15/2015 12:00,2/18/2015 15:25
1-8295432201,Incident,,Significant,Y,3/5/2015 16:55,3/23/2015 18:27
1-8349952678,Incident,,Significant,Y,3/19/2015 14:52,3/23/2015 19:09
1-8215785458,Incident,,Moderate,N,2/13/2015 14:12,6/1/2015 14:47
1-8683848161,Incident,,Significant,N,6/9/2015 15:37,6/23/2015 10:12
1-7622247403,Incident,,Moderate,N,8/28/2014 9:38,9/3/2014 9:02
1-7659924983,Incident,Requested Services - Fulfilment - 1,Moderate,N,9/12/2014 8:12,10/15/2014 17:06
1-8397975312,Incident,,Moderate,N,3/31/2015 7:14,4/2/2015 21:00
1-8587704562,Incident,,Moderate,N,5/12/2015 18:45,5/21/2015 18:06
1-7658749762,Problem,,Significant,N,9/11/2014 20:03,3/16/2015 19:29
1-8346908885,Problem,Requested Services SESP Basic - Problem Management - 52,Moderate,N,3/18/2015 20:53,5/23/2015 0:48
1-7781208243,Problem,Requested Services SESP Basic - Incident Support - 5,Significant,N,10/22/2014 16:45,4/15/2015 17:39
1-7837824130,Problem,Requested Services Hiway Care Full - Fulfilment - 25,Moderate,N,11/3/2014 13:58,5/20/2015 23:52
1-8534550544,Problem,,Moderate,Y,4/27/2015 18:37,6/8/2015 16:23
1-8539710157,Problem,,Significant,N,4/28/2015 20:52,5/23/2015 0:01
1-7837123925,Problem,Process History & Analytics - BGP - 7,Moderate,N,11/3/2014 12:29,11/5/2014 17:52
1-7362055845,Problem,Requested Services SESP Remote - Fulfilment - 13,Significant,N,5/23/2014 7:12,9/18/2014 21:26
1-8337731706,Problem,Requested Services SESP Remote - Fulfilment - 13,Minor,N,3/16/2015 21:33,3/24/2015 11:10
1-8367295944,Problem,Requested Services SESP Remote - Fulfilment - 13,Moderate,N,3/24/2015 11:13,4/3/2015 19:10
1-7102276122,Problem,,Significant,N,5/12/2014 11:02,5/30/2014 11:36
1-5045182192,Problem,,Significant,N,1/22/2014 21:22,3/1/2014 20:21
1-4850033962,Problem,Requested Services - Fulfilment,Moderate,N,1/9/2014 7:11,1/13/2014 9:30
1-4911128810,Problem,Requested Services - Fulfilment,Moderate,N,1/17/2014 12:03,1/24/2014 6:13
1-5493097506,Problem,Requested Services - Fulfilment,Moderate,N,2/14/2014 4:44,2/20/2014 7:55
1-5916998822,Problem,Requested Services - Fulfilment,Moderate,N,3/4/2014 7:05,3/5/2014 5:53
1-7420230989,Problem,Requested Services - Incident Support - 1,Significant,N,6/12/2014 15:18,6/23/2014 18:10
1-7479898473,Problem,Requested Services - Incident Support - 1,Moderate,N,7/1/2014 4:45,8/22/2014 10:34
1-7524776075,Problem,Requested Services - Incident Support - 1,Moderate,N,7/18/2014 6:47,9/29/2014 19:41
1-5183867232,Problem,Preventive Maintenance - 3,Moderate,N,1/28/2014 19:14,4/23/2014 18:27
1-7462143701,Problem,Requested Services - Fulfilment - 2,Significant,N,6/24/2014 11:30,12/6/2014 19:28
1-5178255196,Problem,Requested Services - Fulfilment - 2,Significant,N,1/28/2014 12:04,3/11/2014 10:36
1-7389952431,Problem,Requested Services - Fulfilment - 2,Moderate,N,6/2/2014 13:57,12/6/2014 19:26
1-8635849535,Problem,,Moderate,N,5/29/2015 10:45,6/3/2015 1:15
1-6790560896,Problem,Requested Services - Fulfilment - 3,Moderate,N,4/24/2014 11:43,10/22/2014 15:48
1-7781207461,Problem,Requested Services SESP Basic - Fulfilment - 8,Significant,N,10/22/2014 16:05,3/2/2015 17:12
1-8355435434,Problem,,Moderate,N,3/20/2015 18:02,5/21/2015 0:18
1-6175839081,Problem,,Significant,Y,3/19/2014 16:00,5/30/2014 16:36
1-8206160524,Problem,,Significant,N,2/11/2015 7:20,4/27/2015 18:22
1-7811330003,Request for Fulfillment,Process Optimization - BGP,Moderate,N,10/29/2014 1:36,3/27/2015 22:33
1-4904296362,Request for Fulfillment,Requested Services - Fulfilment,Moderate,N,1/17/2014 5:52,1/23/2014 4:46
1-5358518712,Request for Fulfillment,Requested Services - Fulfilment,Minor,N,2/6/2014 3:36,2/14/2014 4:42
1-5916998859,Request for Fulfillment,Requested Services - Fulfilment,Moderate,N,3/4/2014 11:09,3/18/2014 5:16
1-7452254526,Request for Fulfillment,Requested Services - Incident Support - 1,Moderate,N,6/19/2014 6:07,7/4/2014 4:30
1-7419717238,Request for Fulfillment,Requested Services - Fulfilment - 3,Moderate,N,6/12/2014 13:26,6/23/2014 16:36
1-7519753804,Request for Fulfillment,Requested Services SESP Remote - Incident Support - 5,Moderate,N,7/16/2014 11:22,12/30/2014 22:36
1-8518499387,Request for Fulfillment,,Moderate,N,4/23/2015 12:51,5/12/2015 6:52
